Month,Week,Day,Hr,Min,NAV($),Drawdown(%),P/L(%)
1,0,4,24,15,0.00,0.00,0.00
1,0,4,24,30,0.00,0.00,0.00
1,0,4,24,45,0.00,0.00,0.00
1,0,4,1,0,0.00,0.00,0.00
1,0,4,1,15,0.00,0.00,0.00
1,0,4,1,30,0.00,0.00,0.00
1,0,4,1,45,0.00,0.00,0.00
1,0,4,2,0,0.00,0.00,0.00
1,0,4,2,15,0.00,0.00,0.00
1,0,4,2,30,0.00,0.00,0.00
1,0,4,2,45,0.00,0.00,0.00
1,0,4,3,0,0.00,0.00,0.00
1,0,4,3,15,0.00,0.00,0.00
1,0,4,3,30,0.00,0.00,0.00
1,0,4,4,0,0.00,0.00,0.00
1,0,4,4,15,0.00,0.00,0.00
1,0,4,4,30,0.00,0.00,0.00
1,0,4,4,45,0.00,0.00,0.00
1,0,4,5,0,0.00,0.00,0.00
1,0,4,5,15,0.00,0.00,0.00
1,0,4,5,30,0.00,0.00,0.00
1,0,4,5,45,0.00,0.00,0.00
1,0,4,6,0,0.00,0.00,0.00
1,0,4,6,15,0.00,0.00,0.00
1,0,4,6,30,0.00,0.00,0.00
1,0,4,6,45,0.00,0.00,0.00
1,0,4,7,0,0.00,0.00,0.00
1,0,4,7,15,0.12,0.00,0.00
1,0,4,7,30,0.33,0.00,0.00
1,0,4,7,45,0.78,0.00,0.00
1,0,4,8,0,1.13,0.00,0.00
1,0,4,8,15,0.83,0.00,0.00
1,0,4,8,30,1.13,0.00,0.00
1,0,4,8,45,0.19,0.00,0.00
1,0,4,9,0,0.48,0.00,0.00
1,0,4,9,15,-0.33,0.00,0.00
1,0,4,9,30,0.27,0.00,0.00
1,0,4,9,45,-1.01,0.00,0.00
1,0,4,10,0,-1.41,0.00,0.00
1,0,4,10,15,-2.46,0.00,0.00
1,0,4,10,30,-2.71,0.00,0.00
1,0,4,10,45,-0.90,0.00,0.00
1,0,4,11,0,-1.81,0.00,0.00
1,0,4,11,15,-1.58,0.00,0.00
1,0,4,11,30,-1.79,0.00,0.00
1,0,4,11,45,-1.80,0.00,0.00
1,0,4,12,0,-1.67,0.00,0.00
1,0,4,12,15,-1.79,0.00,0.00
1,0,4,12,30,-2.27,0.00,0.00
1,0,4,12,45,-2.32,0.00,0.00
1,0,4,13,0,-2.17,0.00,0.00
1,0,4,13,15,-6.85,0.00,0.00
1,0,4,13,30,-8.03,0.00,0.00
1,0,4,13,45,-7.01,0.00,0.00
1,0,4,14,0,-7.99,0.00,0.00
1,0,4,14,15,-10.27,0.00,0.00
1,0,4,14,30,-13.48,0.00,0.00
1,0,4,14,45,-14.80,0.00,0.00
1,0,4,15,0,-19.70,0.00,0.00
1,0,4,15,15,-15.50,0.00,0.00
1,0,4,15,30,-21.70,0.00,0.00
1,0,4,15,45,-23.42,0.00,0.00
1,0,4,16,0,-18.26,0.00,0.00
1,0,4,16,15,-17.42,0.00,0.00
1,0,4,16,30,-19.02,0.00,0.00
1,0,4,16,45,-17.54,0.00,0.00
1,0,4,17,0,-20.50,0.00,0.00
1,0,4,17,15,-17.42,0.00,0.00
1,0,4,17,30,-21.14,0.00,0.00
1,0,4,17,45,-22.98,0.00,0.00
1,0,4,18,0,-15.58,0.00,0.00
1,0,4,18,15,-14.66,0.00,0.00
1,0,4,18,30,-16.34,0.00,0.00
1,0,4,18,45,-12.42,0.00,0.00
1,0,4,19,0,-10.90,0.00,0.00
1,0,4,19,15,-10.38,0.00,0.00
1,0,4,19,30,-12.42,0.00,0.00
1,0,4,19,45,-12.62,0.00,0.00
1,0,4,20,0,-8.98,0.00,0.00
1,0,4,20,15,-9.58,0.00,0.00
1,0,4,20,30,-9.38,0.00,0.00
1,0,4,20,45,-9.58,0.00,0.00
1,0,4,21,0,-11.70,0.00,0.00
1,0,4,21,15,-11.58,0.00,0.00
1,0,4,21,30,-13.90,0.00,0.00
1,0,4,21,45,-15.82,0.00,0.00
1,0,4,22,0,-17.98,0.00,0.00
1,0,4,22,15,-16.46,0.00,0.00
1,0,4,22,30,-17.30,0.00,0.00
1,0,4,22,45,-16.46,0.00,0.00
1,0,4,23,0,-13.26,0.00,0.00
1,0,4,23,15,-12.34,0.00,0.00
1,0,4,23,30,-11.50,0.00,0.00
1,0,4,23,45,-11.82,0.00,0.00
1,0,5,24,0,-9.98,0.00,0.00
1,0,5,24,15,-11.66,0.00,0.00
1,0,5,24,30,-12.94,0.00,0.00
1,0,5,24,45,-13.74,0.00,0.00
1,0,5,1,0,-13.02,0.00,0.00
1,0,5,1,15,-12.30,0.00,0.00
1,0,5,1,30,-12.94,0.00,0.00
1,0,5,1,45,-12.70,0.00,0.00
1,0,5,2,0,-12.58,0.00,0.00
1,0,5,2,15,-11.26,0.00,0.00
1,0,5,2,30,-10.26,0.00,0.00
1,0,5,2,45,-10.34,0.00,0.00
1,0,5,3,0,-14.14,0.00,0.00
1,0,5,3,15,-16.58,0.00,0.00
1,0,5,3,30,-16.02,0.00,0.00
1,0,5,3,45,-15.14,0.00,0.00
1,0,5,4,0,-16.82,0.00,0.00
1,0,5,4,15,-13.14,0.00,0.00
1,0,5,4,30,-15.66,0.00,0.00
1,0,5,4,45,-17.26,0.00,0.00
1,0,5,5,0,-16.78,0.00,0.00
1,0,5,5,15,-15.18,0.00,0.00
1,0,5,5,30,-15.54,0.00,0.00
1,0,5,5,45,-12.74,0.00,0.00
1,0,5,6,0,-15.62,0.00,0.00
1,0,5,6,15,-15.18,0.00,0.00
1,0,5,6,30,-13.22,0.00,0.00
1,0,5,6,45,-13.26,0.00,0.00
1,0,5,7,0,-13.71,0.00,0.00
1,0,5,7,15,-14.27,0.00,0.00
1,0,5,7,30,-15.91,0.00,0.00
1,0,5,7,45,-17.67,0.00,0.00
1,0,5,8,0,-19.95,0.00,0.00
1,0,5,8,15,-19.55,0.00,0.00
1,0,5,8,30,-18.43,0.00,0.00
1,0,5,8,45,-18.75,0.00,0.00
1,0,5,9,0,-18.27,0.00,0.00
1,0,5,9,15,-17.27,0.00,0.00
1,0,5,9,30,-14.71,0.00,0.00
1,0,5,9,45,-15.87,0.00,0.00
1,0,5,10,0,-18.79,0.00,0.00
1,0,5,10,15,-17.47,0.00,0.00
1,0,5,10,30,-24.11,0.00,0.00
1,0,5,10,45,-23.15,0.00,0.00
1,0,5,11,0,-23.47,0.00,0.00
1,0,5,11,15,-25.23,0.00,0.00
1,0,5,11,30,-24.23,0.00,0.00
1,0,5,11,45,-19.95,0.00,0.00
1,0,5,12,0,-20.55,0.00,0.00
1,0,5,12,15,-17.87,0.00,0.00
1,0,5,12,30,-19.11,0.00,0.00
1,0,5,12,45,-19.23,0.00,0.00
1,0,5,13,0,-20.75,0.00,0.00
1,0,5,13,15,-19.15,0.00,0.00
1,0,5,13,30,-22.03,0.00,0.00
1,0,5,13,45,-21.71,0.00,0.00
1,0,5,14,0,-23.31,0.00,0.00
1,0,5,14,15,-21.07,0.00,0.00
1,0,5,14,30,-17.19,0.00,0.00
1,0,5,14,45,-18.95,0.00,0.00
1,0,5,15,0,-22.07,0.00,0.00
1,0,5,15,15,-25.71,0.00,0.00
1,0,5,15,30,-25.07,0.00,0.00
1,0,5,15,45,-22.03,0.00,0.00
1,0,5,16,0,-24.07,0.00,0.00
1,0,5,16,15,-33.33,0.00,0.00
1,0,5,16,30,-32.83,0.00,0.00
1,0,5,16,45,-36.43,0.00,0.00
1,0,5,17,0,-35.93,0.00,0.00
1,0,5,17,15,-39.58,0.00,0.00
1,0,5,17,30,-34.33,0.00,0.00
1,0,5,17,45,-34.03,0.00,0.00
1,0,5,18,0,-34.58,0.00,0.00
1,0,5,18,15,-33.73,0.00,0.00
1,0,5,18,30,-35.98,0.00,0.00
1,0,5,18,45,-36.88,0.00,0.00
1,0,5,19,0,-38.48,0.00,0.00
1,0,5,19,15,-42.48,0.00,0.00
1,0,5,19,30,-40.93,0.00,0.00
1,0,5,19,45,-37.88,0.00,0.00
1,0,5,20,0,-38.33,0.00,0.00
1,0,5,20,15,-41.98,0.00,0.00
1,0,5,20,30,-40.63,0.00,0.00
1,0,5,20,45,-40.28,0.00,0.00
1,0,5,21,0,-39.38,0.00,0.00
1,0,5,21,15,-39.28,0.00,0.00
1,0,5,21,30,-39.63,0.00,0.00
1,0,5,21,45,-41.03,0.00,0.00
1,0,5,22,0,-41.58,0.00,0.00
1,0,5,22,15,-43.48,0.00,0.00
1,0,5,22,30,-46.28,0.00,0.00
1,0,5,22,45,-47.48,0.00,0.00
1,0,5,23,0,-49.77,0.00,0.00
1,0,5,23,15,-46.77,0.00,0.00
1,0,5,23,30,-45.15,0.00,0.00
1,0,5,23,45,0.00,0.00,0.00
1,0,1,24,0,0.00,0.00,0.00
1,0,1,24,15,0.00,0.00,0.00
1,0,1,24,30,0.00,0.00,0.00
1,0,1,24,45,0.00,0.00,0.00
1,0,1,1,0,0.00,0.00,0.00
1,0,1,1,15,0.00,0.00,0.00
1,0,1,1,30,0.00,0.00,0.00
1,0,1,1,45,0.00,0.00,0.00
1,0,1,2,0,0.00,0.00,0.00
1,0,1,2,15,0.00,0.00,0.00
1,0,1,2,30,0.00,0.00,0.00
1,0,1,2,45,0.00,0.00,0.00
1,0,1,3,0,0.00,0.00,0.00
1,0,1,3,15,0.00,0.00,0.00
1,0,1,3,30,0.00,0.00,0.00
1,0,1,3,45,0.00,0.00,0.00
1,0,1,4,0,0.00,0.00,0.00
1,0,1,4,15,0.00,0.00,0.00
1,0,1,4,30,0.00,0.00,0.00
1,0,1,4,45,0.00,0.00,0.00
1,0,1,5,0,0.00,0.00,0.00
1,0,1,5,15,0.00,0.00,0.00
1,0,1,5,30,0.00,0.00,0.00
1,0,1,5,45,0.00,0.00,0.00
1,0,1,6,0,0.00,0.00,0.00
1,0,1,6,15,0.00,0.00,0.00
1,0,1,6,30,0.00,0.00,0.00
1,0,1,6,45,0.00,0.00,0.00
1,0,1,7,0,0.00,0.00,0.00
1,0,1,7,15,-0.09,0.00,0.00
1,0,1,7,30,0.15,0.00,0.00
1,0,1,7,45,0.10,0.00,0.00
1,0,1,8,0,-0.43,0.00,0.00
1,0,1,8,15,-0.86,0.00,0.00
1,0,1,8,30,-0.40,0.00,0.00
1,0,1,8,45,-0.08,0.00,0.00
1,0,1,9,0,0.23,0.00,0.00
1,0,1,9,15,0.59,0.00,0.00
