Month,Week,Day,Hr,Min,NAV($),Drawdown(%),P/L(%)
1,0,1,9,15,-0.07,0.00,0.00
1,0,1,9,30,-0.35,0.00,0.00
1,0,1,9,45,-0.32,0.00,0.00
1,0,1,10,0,-0.68,0.00,0.00
1,0,1,10,15,-0.71,0.00,0.00
1,0,1,10,30,-1.02,0.00,0.00
1,0,1,10,45,-1.19,0.00,0.00
1,0,1,11,0,-3.42,0.00,0.00
1,0,1,11,15,-5.34,0.00,0.00
1,0,1,11,30,-4.84,0.00,0.00
1,0,1,11,45,-3.68,0.00,0.00
1,0,1,12,0,-3.88,0.00,0.00
1,0,1,12,15,-3.52,0.00,0.00
1,0,1,12,30,-5.16,0.00,0.00
1,0,1,12,45,-4.76,0.00,0.00
1,0,1,13,0,-5.10,0.00,0.00
1,0,1,13,15,-5.08,0.00,0.00
1,0,1,13,30,-5.20,0.00,0.00
1,0,1,13,45,-5.30,0.00,0.00
1,0,1,14,0,-5.56,0.00,0.00
1,0,1,14,15,-6.76,0.00,0.00
1,0,1,14,30,-6.72,0.00,0.00
1,0,1,14,45,-6.86,0.00,0.00
1,0,1,15,0,-8.10,0.00,0.00
1,0,1,15,15,-8.30,0.00,0.00
1,0,1,15,30,-8.12,0.00,0.00
1,0,1,15,45,-8.04,0.00,0.00
1,0,1,16,0,-8.10,0.00,0.00
1,0,1,16,15,-7.68,0.00,0.00
1,0,1,16,30,-7.28,0.00,0.00
1,0,1,16,45,-6.50,0.00,0.00
1,0,1,17,0,-6.84,0.00,0.00
1,0,1,17,15,-7.94,0.00,0.00
1,0,1,17,30,-7.64,0.00,0.00
1,0,1,17,45,-7.56,0.00,0.00
1,0,1,18,0,-7.28,0.00,0.00
1,0,1,18,15,-6.92,0.00,0.00
1,0,1,18,30,-7.04,0.00,0.00
1,0,1,18,45,-6.98,0.00,0.00
1,0,1,19,0,-7.40,0.00,0.00
1,0,1,19,30,-8.16,0.00,0.00
1,0,1,19,45,-8.14,0.00,0.00
1,0,1,20,0,-8.12,0.00,0.00
1,0,1,20,15,-8.38,0.00,0.00
1,0,1,20,30,-8.90,0.00,0.00
1,0,1,20,45,-9.02,0.00,0.00
1,0,1,21,0,-9.20,0.00,0.00
1,0,1,21,45,-9.18,0.00,0.00
1,0,1,22,0,-9.45,0.00,0.00
1,0,1,22,15,-10.08,0.00,0.00
1,0,1,22,30,-9.90,0.00,0.00
1,0,1,23,0,-9.66,0.00,0.00
1,0,1,23,15,-12.03,0.00,0.00
1,0,1,23,30,-11.85,0.00,0.00
1,0,1,23,45,-11.49,0.00,0.00
1,0,2,24,0,-11.10,0.00,0.00
1,0,2,24,15,-9.42,0.00,0.00
1,0,2,24,30,-7.47,0.00,0.00
1,0,2,24,45,-7.68,0.00,0.00
1,0,2,1,0,-8.64,0.00,0.00
1,0,2,1,15,-10.41,0.00,0.00
1,0,2,1,30,-8.13,0.00,0.00
1,0,2,1,45,-9.81,0.00,0.00
1,0,2,2,0,-9.96,0.00,0.00
1,0,2,2,15,-7.38,0.00,0.00
1,0,2,2,30,-7.05,0.00,0.00
1,0,2,2,45,-7.23,0.00,0.00
1,0,2,3,0,-7.32,0.00,0.00
1,0,2,3,15,-4.71,0.00,0.00
1,0,2,3,30,-4.17,0.00,0.00
1,0,2,3,45,-3.36,0.00,0.00
1,0,2,4,0,-4.38,0.00,0.00
1,0,2,4,15,-4.38,0.00,0.00
1,0,2,4,30,-4.50,0.00,0.00
1,0,2,4,45,-4.47,0.00,0.00
1,0,2,5,0,-5.61,0.00,0.00
1,0,2,5,15,-4.05,0.00,0.00
