Month,Week,Day,Hr,Min,NAV($),Drawdown(%),P/L(%)
1,0,3,1,45,0.00,0.00,0.00
1,0,3,2,0,0.00,0.00,0.00
1,0,3,2,15,0.00,0.00,0.00
1,0,3,2,30,0.00,0.00,0.00
1,0,3,2,45,0.00,0.00,0.00
1,0,3,3,0,0.00,0.00,0.00
1,0,3,3,15,0.00,0.00,0.00
1,0,3,3,30,0.00,0.00,0.00
1,0,3,3,45,0.00,0.00,0.00
1,0,3,4,0,0.00,0.00,0.00
1,0,3,4,15,0.00,0.00,0.00
1,0,3,4,30,0.00,0.00,0.00
1,0,3,4,45,0.00,0.00,0.00
1,0,3,5,0,0.00,0.00,0.00
1,0,3,5,15,0.00,0.00,0.00
1,0,3,5,30,0.00,0.00,0.00
1,0,3,5,45,0.00,0.00,0.00
1,0,3,6,0,0.00,0.00,0.00
1,0,3,6,15,0.00,0.00,0.00
1,0,3,6,30,0.00,0.00,0.00
1,0,3,6,45,0.00,0.00,0.00
1,0,3,7,0,0.00,0.00,0.00
1,0,3,7,15,0.62,0.00,0.00
1,0,3,7,30,-0.10,0.00,0.00
1,0,3,7,45,0.45,0.00,0.00
1,0,3,8,0,0.57,0.00,0.00
1,0,3,8,15,1.09,0.00,0.00
1,0,3,8,30,1.31,0.00,0.00
1,0,3,8,45,0.94,0.00,0.00
1,0,3,9,0,1.07,0.00,0.00
1,0,3,9,15,1.49,0.00,0.00
1,0,3,9,30,3.13,0.00,0.00
1,0,3,9,45,0.53,0.00,0.00
1,0,3,10,0,-0.81,0.00,0.00
1,0,3,10,15,-1.43,0.00,0.00
1,0,3,10,30,0.47,0.00,0.00
1,0,3,10,45,2.13,0.00,0.00
1,0,3,11,0,1.01,0.00,0.00
1,0,3,11,15,-0.49,0.00,0.00
1,0,3,11,30,-3.29,0.00,0.00
1,0,3,11,45,-3.37,0.00,0.00
1,0,3,12,0,-2.57,0.00,0.00
1,0,3,12,15,-2.81,0.00,0.00
1,0,3,12,30,-7.33,0.00,0.00
1,0,3,12,45,-5.73,0.00,0.00
1,0,3,13,0,-6.37,0.00,0.00
1,0,3,13,15,-5.67,0.00,0.00
1,0,3,13,30,-7.83,0.00,0.00
1,0,3,13,45,-6.71,0.00,0.00
1,0,3,14,0,-5.55,0.00,0.00
1,0,3,14,15,-2.97,0.00,0.00
1,0,3,14,30,-0.97,0.00,0.00
1,0,3,14,45,-2.25,0.00,0.00
1,0,3,15,0,-2.03,0.00,0.00
1,0,3,15,15,-3.17,0.00,0.00
1,0,3,15,30,-2.67,0.00,0.00
1,0,3,15,45,-2.25,0.00,0.00
1,0,3,16,0,-5.79,0.00,0.00
1,0,3,16,15,-4.75,0.00,0.00
1,0,3,16,30,-7.31,0.00,0.00
1,0,3,16,45,-6.07,0.00,0.00
1,0,3,17,0,-4.41,0.00,0.00
1,0,3,17,15,-4.27,0.00,0.00
1,0,3,17,30,-4.69,0.00,0.00
1,0,3,17,45,-4.55,0.00,0.00
1,0,3,18,0,-7.59,0.00,0.00
1,0,3,18,15,-14.82,0.00,0.00
1,0,3,18,30,-19.96,0.00,0.00
1,0,3,18,45,-21.12,0.00,0.00
1,0,3,19,0,-19.36,0.00,0.00
1,0,3,19,15,-25.20,0.00,0.00
1,0,3,19,30,-28.79,0.00,0.00
1,0,3,19,45,-28.94,0.00,0.00
1,0,3,20,0,-29.29,0.00,0.00
1,0,3,20,15,-30.64,0.00,0.00
1,0,3,20,30,-27.09,0.00,0.00
1,0,3,20,45,-26.99,0.00,0.00
1,0,3,21,0,-30.99,0.00,0.00
1,0,3,21,15,-31.44,0.00,0.00
1,0,3,21,30,-27.94,0.00,0.00
1,0,3,21,45,-29.64,0.00,0.00
1,0,3,22,0,-25.29,0.00,0.00
1,0,3,22,15,-24.54,0.00,0.00
1,0,3,22,30,-24.14,0.00,0.00
1,0,3,22,45,-23.74,0.00,0.00
1,0,3,23,0,-20.09,0.00,0.00
1,0,3,23,15,-19.24,0.00,0.00
1,0,3,23,30,-19.54,0.00,0.00
1,0,3,23,45,-22.04,0.00,0.00
1,0,4,24,0,-20.04,0.00,0.00
1,0,4,24,15,-22.69,0.00,0.00
1,0,4,24,30,-19.84,0.00,0.00
1,0,4,24,45,-20.59,0.00,0.00
1,0,4,1,0,-18.44,0.00,0.00
1,0,4,1,15,-22.44,0.00,0.00
1,0,4,1,30,-24.49,0.00,0.00
1,0,4,1,45,-23.19,0.00,0.00
1,0,4,2,0,-21.49,0.00,0.00
1,0,4,2,15,-20.24,0.00,0.00
1,0,4,2,30,-19.64,0.00,0.00
1,0,4,2,45,-20.24,0.00,0.00
1,0,4,3,0,-21.99,0.00,0.00
1,0,4,3,15,-28.24,0.00,0.00
1,0,4,3,30,-30.89,0.00,0.00
1,0,4,3,45,-30.24,0.00,0.00
1,0,4,4,0,-27.79,0.00,0.00
1,0,4,4,15,-27.84,0.00,0.00
1,0,4,4,30,-28.34,0.00,0.00
1,0,4,4,45,-28.64,0.00,0.00
1,0,4,5,0,-49.85,0.00,0.00
1,0,4,5,15,-47.09,0.00,0.00
1,0,4,5,30,-46.85,0.00,0.00
1,0,4,5,45,-44.69,0.00,0.00
1,0,4,6,0,-42.83,0.00,0.00
1,0,4,6,15,-42.29,0.00,0.00
1,0,4,6,30,-42.41,0.00,0.00
1,0,4,6,45,-43.13,0.00,0.00
1,0,4,7,0,-44.98,0.00,0.00
1,0,4,7,15,-46.00,0.00,0.00
1,0,4,7,30,-45.58,0.00,0.00
1,0,4,7,45,-44.62,0.00,0.00
1,0,4,8,0,-44.14,0.00,0.00
1,0,4,8,15,-43.96,0.00,0.00
1,0,4,8,30,-40.00,0.00,0.00
1,0,4,8,45,-39.10,0.00,0.00
1,0,4,9,0,-40.24,0.00,0.00
1,0,4,9,15,-39.58,0.00,0.00
1,0,4,9,30,-39.10,0.00,0.00
1,0,4,9,45,-41.26,0.00,0.00
1,0,4,10,0,-46.66,0.00,0.00
1,0,4,10,15,-37.18,0.00,0.00
1,0,4,10,30,-39.16,0.00,0.00
1,0,4,10,45,-34.42,0.00,0.00
1,0,4,11,0,-28.72,0.00,0.00
1,0,4,11,15,-29.62,0.00,0.00
1,0,4,11,30,-32.32,0.00,0.00
1,0,4,11,45,-37.24,0.00,0.00
1,0,4,12,0,-39.28,0.00,0.00
1,0,4,12,15,-59.14,0.00,0.00
1,0,4,12,30,-59.38,0.00,0.00
1,0,4,12,45,-65.38,0.00,0.00
1,0,4,13,0,-69.88,0.00,0.00
1,0,4,13,15,-61.55,0.00,0.00
1,0,4,13,30,-60.57,0.00,0.00
1,0,4,13,45,-57.14,0.00,0.00
1,0,4,14,0,-57.91,0.00,0.00
1,0,4,14,15,-63.93,0.00,0.00
1,0,4,14,30,-70.23,0.00,0.00
1,0,4,14,45,-67.01,0.00,0.00
1,0,4,15,0,-68.34,0.00,0.00
1,0,4,15,15,-67.92,0.00,0.00
1,0,4,15,30,-69.25,0.00,0.00
1,0,4,15,45,-62.18,0.00,0.00
1,0,4,16,0,-59.73,0.00,0.00
1,0,4,16,15,-57.98,0.00,0.00
1,0,4,16,30,-61.55,0.00,0.00
1,0,4,16,45,-68.20,0.00,0.00
1,0,4,17,0,-67.15,0.00,0.00
1,0,4,17,15,-63.51,0.00,0.00
1,0,4,17,30,-61.97,0.00,0.00
1,0,4,17,45,-61.06,0.00,0.00
1,0,4,18,0,-70.72,0.00,0.00
1,0,4,18,15,-59.66,0.00,0.00
1,0,4,18,30,-60.50,0.00,0.00
1,0,4,18,45,-59.10,0.00,0.00
1,0,4,19,0,-60.43,0.00,0.00
1,0,4,19,15,-60.43,0.00,0.00
1,0,4,19,30,-58.40,0.00,0.00
1,0,4,19,45,-58.54,0.00,0.00
1,0,4,20,0,-59.17,0.00,0.00
1,0,4,20,15,-60.01,0.00,0.00
1,0,4,20,30,-60.43,0.00,0.00
1,0,4,20,45,-60.92,0.00,0.00
1,0,4,21,0,-63.16,0.00,0.00
1,0,4,21,15,-85.85,0.00,0.00
1,0,4,21,30,-90.49,0.00,0.00
1,0,4,21,45,-91.93,0.00,0.00
1,0,4,22,0,-94.49,0.00,0.00
1,0,4,22,15,-94.25,0.00,0.00
1,0,4,22,30,-97.77,0.00,0.00
1,0,4,22,45,-101.45,0.00,0.00
1,0,4,23,0,-100.49,0.00,0.00
1,0,4,23,15,-102.97,0.00,0.00
1,0,4,23,30,-101.85,0.00,0.00
1,0,4,23,45,-102.09,0.00,0.00
1,0,5,24,0,-104.49,0.00,0.00
1,0,5,24,15,-104.65,0.00,0.00
1,0,5,24,30,-109.69,0.00,0.00
1,0,5,24,45,-118.78,0.00,0.00
1,0,5,1,0,-113.11,0.00,0.00
1,0,5,1,15,-109.33,0.00,0.00
1,0,5,1,30,-106.00,0.00,0.00
1,0,5,1,45,-110.86,0.00,0.00
1,0,5,2,0,-125.08,0.00,0.00
1,0,5,2,15,-113.02,0.00,0.00
1,0,5,2,30,-111.49,0.00,0.00
1,0,5,2,45,-114.91,0.00,0.00
1,0,5,3,0,-129.49,0.00,0.00
1,0,5,3,15,-123.73,0.00,0.00
1,0,5,3,30,-116.26,0.00,0.00
1,0,5,3,45,-117.97,0.00,0.00
1,0,5,4,0,-114.73,0.00,0.00
1,0,5,4,15,-119.41,0.00,0.00
1,0,5,4,30,-119.50,0.00,0.00
1,0,5,4,45,-123.55,0.00,0.00
1,0,5,5,0,-125.80,0.00,0.00
1,0,5,5,15,-127.33,0.00,0.00
1,0,5,5,30,-120.49,0.00,0.00
1,0,5,5,45,-119.32,0.00,0.00
1,0,5,6,0,-119.59,0.00,0.00
1,0,5,6,15,-119.77,0.00,0.00
1,0,5,6,30,-116.89,0.00,0.00
1,0,5,6,45,-115.99,0.00,0.00
1,0,5,7,0,-117.82,0.00,0.00
1,0,5,7,15,-115.75,0.00,0.00
1,0,5,7,30,-114.22,0.00,0.00
1,0,5,7,45,-114.94,0.00,0.00
1,0,5,8,0,-109.09,0.00,0.00
1,0,5,8,15,-107.11,0.00,0.00
1,0,5,8,30,-107.20,0.00,0.00
1,0,5,8,45,-105.13,0.00,0.00
1,0,5,9,0,-113.05,0.00,0.00
1,0,5,9,15,-133.66,0.00,0.00
1,0,5,9,30,-134.74,0.00,0.00
1,0,5,9,45,-133.66,0.00,0.00
1,0,5,10,0,-140.77,0.00,0.00
1,0,5,10,15,-136.81,0.00,0.00
1,0,5,10,30,-127.09,0.00,0.00
1,0,5,10,45,-126.46,0.00,0.00
1,0,5,11,0,-134.74,0.00,0.00
1,0,5,11,15,-138.07,0.00,0.00
1,0,5,11,30,-133.57,0.00,0.00
1,0,5,11,45,-140.50,0.00,0.00
1,0,5,12,0,-137.71,0.00,0.00
1,0,5,12,15,-131.05,0.00,0.00
1,0,5,12,30,-135.82,0.00,0.00
1,0,5,12,45,-133.21,0.00,0.00
1,0,5,13,0,-141.76,0.00,0.00
1,0,5,13,15,-137.98,0.00,0.00
1,0,5,13,30,-136.90,0.00,0.00
1,0,5,13,45,-141.32,0.00,0.00
1,0,5,14,0,-145.32,0.00,0.00
1,0,5,14,15,-135.22,0.00,0.00
1,0,5,14,30,-137.22,0.00,0.00
1,0,5,14,45,-134.42,0.00,0.00
1,0,5,15,0,-138.72,0.00,0.00
1,0,5,15,15,-136.42,0.00,0.00
1,0,5,15,30,-136.82,0.00,0.00
1,0,5,15,45,-123.92,0.00,0.00
1,0,5,16,0,-107.82,0.00,0.00
1,0,5,16,15,-98.52,0.00,0.00
1,0,5,16,30,-106.42,0.00,0.00
1,0,5,16,45,-102.12,0.00,0.00
1,0,5,17,0,-85.32,0.00,0.00
1,0,5,17,15,-101.32,0.00,0.00
1,0,5,17,30,-103.32,0.00,0.00
1,0,5,17,45,-114.22,0.00,0.00
1,0,5,18,0,-103.42,0.00,0.00
1,0,5,18,15,-103.02,0.00,0.00
1,0,5,18,30,-106.12,0.00,0.00
1,0,5,18,45,-92.42,0.00,0.00
1,0,5,19,0,-101.72,0.00,0.00
1,0,5,19,15,-101.02,0.00,0.00
1,0,5,19,30,-108.32,0.00,0.00
1,0,5,19,45,-102.12,0.00,0.00
1,0,5,20,0,-99.12,0.00,0.00
1,0,5,20,15,-98.92,0.00,0.00
1,0,5,20,30,-93.32,0.00,0.00
1,0,5,20,45,-95.42,0.00,0.00
1,0,5,21,0,-91.92,0.00,0.00
1,0,5,21,15,-93.32,0.00,0.00
1,0,5,21,30,-71.72,0.00,0.00
1,0,5,21,45,-77.02,0.00,0.00
1,0,5,22,0,-76.22,0.00,0.00
1,0,5,22,15,-76.42,0.00,0.00
1,0,5,22,30,-60.42,0.00,0.00
1,0,5,22,45,-62.02,0.00,0.00
1,0,5,23,0,-67.32,0.00,0.00
1,0,5,23,15,-76.12,0.00,0.00
1,0,5,23,30,-73.32,0.00,0.00
1,0,5,23,45,0.00,0.00,0.00
1,1,1,24,0,0.00,0.00,0.00
1,1,1,24,15,0.00,0.00,0.00
1,1,1,24,30,0.00,0.00,0.00
1,1,1,24,45,0.00,0.00,0.00
1,1,1,1,0,0.00,0.00,0.00
1,1,1,1,15,0.00,0.00,0.00
1,1,1,1,30,0.00,0.00,0.00
1,1,1,1,45,0.00,0.00,0.00
1,1,1,2,0,0.00,0.00,0.00
1,1,1,2,15,0.00,0.00,0.00
1,1,1,2,30,0.00,0.00,0.00
1,1,1,2,45,0.00,0.00,0.00
1,1,1,3,0,0.00,0.00,0.00
1,1,1,3,15,0.00,0.00,0.00
1,1,1,3,30,0.00,0.00,0.00
1,1,1,3,45,0.00,0.00,0.00
1,1,1,4,0,0.00,0.00,0.00
1,1,1,4,15,0.00,0.00,0.00
1,1,1,4,30,0.00,0.00,0.00
1,1,1,4,45,0.00,0.00,0.00
1,1,1,5,0,0.00,0.00,0.00
1,1,1,5,15,0.00,0.00,0.00
1,1,1,5,30,0.00,0.00,0.00
1,1,1,5,45,0.00,0.00,0.00
1,1,1,6,0,0.00,0.00,0.00
1,1,1,6,15,0.00,0.00,0.00
1,1,1,6,30,0.00,0.00,0.00
1,1,1,6,45,0.00,0.00,0.00
1,1,1,7,0,0.00,0.00,0.00
1,1,1,7,15,-0.19,0.00,0.00
1,1,1,7,30,0.28,0.00,0.00
1,1,1,7,45,-0.18,0.00,0.00
1,1,1,8,0,-0.30,0.00,0.00
1,1,1,8,15,-0.28,0.00,0.00
1,1,1,8,30,-0.34,0.00,0.00
1,1,1,8,45,-0.32,0.00,0.00
1,1,1,9,0,0.11,0.00,0.00
1,1,1,9,15,0.66,0.00,0.00
1,1,1,9,30,0.73,0.00,0.00
1,1,1,9,45,1.32,0.00,0.00
1,1,1,10,0,-0.48,0.00,0.00
1,1,1,10,15,-1.63,0.00,0.00
1,1,1,10,30,-1.47,0.00,0.00
1,1,1,10,45,-0.93,0.00,0.00
1,1,1,11,0,-1.39,0.00,0.00
1,1,1,11,15,-0.36,0.00,0.00
1,1,1,11,30,-0.11,0.00,0.00
1,1,1,11,45,0.11,0.00,0.00
1,1,1,12,0,-0.13,0.00,0.00
1,1,1,12,15,0.54,0.00,0.00
1,1,1,12,30,0.86,0.00,0.00
1,1,1,12,45,-0.13,0.00,0.00
1,1,1,13,0,0.24,0.00,0.00
1,1,1,13,15,-0.03,0.00,0.00
1,1,1,13,30,-0.15,0.00,0.00
1,1,1,13,45,0.20,0.00,0.00
1,1,1,14,0,-0.56,0.00,0.00
1,1,1,14,15,-0.24,0.00,0.00
1,1,1,14,30,0.16,0.00,0.00
1,1,1,14,45,-1.09,0.00,0.00
1,1,1,15,0,-1.47,0.00,0.00
1,1,1,15,15,0.05,0.00,0.00
1,1,1,15,30,0.46,0.00,0.00
1,1,1,15,45,0.56,0.00,0.00
1,1,1,16,0,2.17,0.00,0.00
1,1,1,16,15,2.45,0.00,0.00
1,1,1,16,30,2.48,0.00,0.00
